Timestamp,Admin.PV_Inverter_1#Current A#A,Admin.PV_Inverter_1#Current B#A,Admin.PV_Inverter_1#Current C#A,Admin.PV_Inverter_1#Real Power#kW,Admin.PV_Inverter_2#Current A#A,Admin.PV_Inverter_2#Current B#A,Admin.PV_Inverter_2#Current C#A,Admin.PV_Inverter_2#Real Power#kW,Admin.PV_Inverter_3#Current A#A,Admin.PV_Inverter_3#Current B#A,Admin.PV_Inverter_3#Current C#A,Admin.PV_Inverter_3#Real Power#kW,DOT.PV_Inverter_1#Current A#A,DOT.PV_Inverter_1#Current B#A,DOT.PV_Inverter_1#Current C#A,DOT.PV_Inverter_1#Real Power#kW,DOT.PV_Inverter_2#Current A#A,DOT.PV_Inverter_2#Current B#A,DOT.PV_Inverter_2#Current C#A,DOT.PV_Inverter_2#Real Power#kW,DOT.PV_Inverter_3#Current A#A,DOT.PV_Inverter_3#Current B#A,DOT.PV_Inverter_3#Current C#A,DOT.PV_Inverter_3#Real Power#kW,REV.PV_Inverter_1#Current A#A,REV.PV_Inverter_1#Current B#A,REV.PV_Inverter_1#Current C#A,REV.PV_Inverter_1#Real Power#kW,REV.PV_Inverter_2#Current A#A,REV.PV_Inverter_2#Current B#A,REV.PV_Inverter_2#Current C#A,REV.PV_Inverter_2#Real Power#kW,REV.PV_Inverter_3#Current A#A,REV.PV_Inverter_3#Current B#A,REV.PV_Inverter_3#Current C#A,REV.PV_Inverter_3#Real Power#kW,REV.PV_Inverter_4#Current A#A,REV.PV_Inverter_4#Current B#A,REV.PV_Inverter_4#Current C#A,REV.PV_Inverter_4#Real Power#kW,REV.PV_Inverter_5#Current A#A,REV.PV_Inverter_5#Current B#A,REV.PV_Inverter_5#Current C#A,REV.PV_Inverter_5#Real Power#kW
3/17/2020 15:45,14.55999947,14.46999931,14.52999973,12.23,16.79999924,16.73999977,16.81999969,14.154,9.559999466,9.479999542,9.579999924,8.029,24.27999878,24.26999855,24.27999878,20.455,23.84000015,23.84000015,23.79999924,20.035,19.07999992,19.07999992,18.95999908,16.033,21.79999924,21.68999863,21.73999977,18.222,21.77000046,21.70999908,21.77999878,18.223,20.70999908,20.62999916,20.68999863,17.329,21.18000031,21.07999992,21.18000031,17.718,21.54999924,21.48999977,21.53999901,18.026
3/17/2020 16:00,12.61999989,12.5199995,12.59000015,10.578,15.77999973,15.71000004,15.78999996,13.269,8.929999352,8.840000153,8.960000038,7.497,22.81999969,22.79999924,22.79999924,19.213,22.75,22.75,22.69999886,19.021,18.25,18.25,18.13999939,15.272,20.51000023,20.40999985,20.44999886,17.147,20.56999969,20.51000023,20.59000015,17.206,19.29999924,19.22999954,19.28999901,16.147,19.71999931,19.62999916,19.73999977,16.498,20.15999985,20.10000038,20.15999985,16.866
3/17/2020 16:15,11.60999966,11.52999973,11.59000015,9.741,14.78999996,14.71000004,14.79999924,12.441,8.349999428,8.260000229,8.380000114,6.999,21.73999977,21.70999908,21.70999908,18.279,21.30999947,21.30999947,21.27000046,17.873,17.07999992,17.09000015,16.97999954,14.311,19.25,19.14999962,19.19999886,16.08,18.96999931,18.89999962,18.98999977,15.859,17.61999893,17.54999924,17.61999893,14.743,18.36999893,18.27999878,18.37999916,15.354,18.82999992,18.76000023,18.81999969,15.731
3/17/2020 16:30,9.909999847,9.819999695,9.88999939,8.318,13.84999943,13.77999973,13.86999989,11.61,7.619999886,7.529999733,7.649999619,6.405,20.42000008,20.38999939,20.39999962,17.166,20.14999962,20.14999962,20.1099987,16.897,16.04999924,16.05999947,15.94999981,13.475,18.01000023,17.90999985,17.96999931,15.06,17.93000031,17.86999893,17.95999908,15.029,16.43000031,16.3599987,16.42000008,13.768,16.98999977,16.89999962,17.01000023,14.225,17.61999893,17.55999947,17.6099987,14.76
3/17/2020 16:45,4.569999695,4.480000019,4.559999943,3.819,4.259999752,4.159999847,4.269999981,3.563,2.329999924,2.25,2.369999886,1.948,10.30000019,10.27999973,10.2699995,8.641,10.39999962,10.42000008,10.36999989,8.757,5.889999866,5.900000095,5.779999733,4.906,17.3599987,17.26000023,17.30999947,14.531,,,,,,,,,14.98999977,14.90999985,15.00999928,12.558,,,,
3/17/2020 17:00,6,5.909999847,5.980000019,5.013,9.68999958,9.630000114,9.710000038,8.146,4.5,4.420000076,4.539999962,3.766,17.15999985,17.12999916,17.12999916,14.384,13.67000008,13.67999935,13.63000011,11.435,13.09999943,13.09999943,12.98999977,10.958,11.65999985,11.55999947,11.63000011,9.741,12.30999947,12.25999928,12.34000015,10.284,11.09000015,11.02999973,11.09999943,9.273,15.47999954,15.39999962,15.50999928,12.954,16.43000031,16.36999893,16.43000031,13.758
3/17/2020 17:15,4.339999676,4.230000019,4.319999695,3.616,8.090000153,8,8.109999657,6.791,5.039999962,4.960000038,5.079999924,4.219,12.15999985,12.13999939,12.13999939,10.209,8.369999886,8.38999939,8.329999924,7.052,9.420000076,9.429999352,9.319999695,7.891,10.21999931,10.11999989,10.17999935,8.54,10.13000011,10.06999969,10.15999985,8.482,9.050000191,8.979999542,9.050000191,7.576,11.55000019,11.46000004,11.57999992,9.678,12.73999977,12.65999985,12.73999977,10.647
3/17/2020 17:30,3.779999971,3.679999828,3.75999999,3.14,6.349999905,6.269999981,6.369999886,5.318,2.389999866,2.309999943,2.419999838,1.996,6.019999981,6,5.989999771,5.059,7.129999638,7.149999619,7.079999924,5.947,4.900000095,4.909999847,4.809999943,4.1,8.25,8.13999939,8.210000038,6.849,8.18999958,8.119999886,8.220000267,6.842,7.319999695,7.25,7.329999924,6.095,6.089999676,6.009999752,6.119999886,5.067,7.659999847,7.579999924,7.669999599,6.376
3/17/2020 17:45,2.419999838,2.319999933,2.389999866,1.99,2.639999866,2.539999962,2.659999847,2.194,1.49000001,1.399999976,1.519999981,1.229,3.359999895,3.339999914,3.339999914,2.804,3.470000029,3.5,3.429999828,2.897,2.899999857,2.909999847,2.799999952,2.402,3.439999819,3.329999924,3.419999838,2.832,3.399999857,3.339999914,3.429999828,2.83,3.339999914,3.279999971,3.349999905,2.775,3.379999876,3.289999962,3.409999847,2.801,3.379999876,3.299999952,3.389999866,2.798
3/17/2020 18:00,1.959999919,1.860000014,1.939999938,1.613,2.079999924,1.99000001,2.079999924,1.723,1.169999957,1.090000033,1.199999928,0.967,2.599999905,2.579999924,2.579999924,2.173,2.619999886,2.639999866,2.579999924,2.187,2.24000001,2.25999999,2.169999838,1.868,2.700000048,2.589999914,2.690000057,2.222,2.659999847,2.599999905,2.690000057,2.212,2.639999866,2.579999924,2.659999847,2.196,2.679999828,2.589999914,2.710000038,2.22,2.649999857,2.569999933,2.659999847,2.193
3/17/2020 18:15,1.939999938,1.849999905,1.919999957,1.597,2.059999943,1.959999919,2.059999943,1.703,1.059999943,0.979999959,1.090000033,0.874,2.5,2.480000019,2.49000001,2.092,2.700000048,2.720000029,2.669999838,2.258,2.059999943,2.089999914,1.9799999,1.717,2.75999999,2.649999857,2.75,2.273,2.720000029,2.649999857,2.75,2.256,2.649999857,2.599999905,2.669999838,2.208,2.470000029,2.379999876,2.5,2.044,2.480000019,2.399999857,2.49000001,2.051
3/17/2020 18:30,1,0.919999957,0.979999959,0.807,1.059999943,0.98999995,1.079999924,0.877,0.579999983,0.50999999,0.610000014,0.467,1.350000024,1.339999914,1.339999914,1.124,1.350000024,1.389999986,1.319999933,1.133,1.149999976,1.179999948,1.079999924,0.951,1.409999967,1.309999943,1.409999967,1.146,1.389999986,1.329999924,1.419999957,1.151,1.370000005,1.309999943,1.379999995,1.128,1.379999995,1.299999952,1.409999967,1.132,1.360000014,1.289999962,1.370000005,1.117
3/17/2020 18:45,0.459999979,0.409999996,0.449999988,0.359,0.48999998,0.419999987,0.50999999,0.387,0.269999981,0.199999988,0.310000002,0.198,0.599999964,0.599999964,0.610000014,0.501,0.579999983,0.620000005,0.560000002,0.486,0.519999981,0.560000002,0.479999989,0.43,0.669999957,0.569999993,0.659999967,0.52,0.629999995,0.579999983,0.659999967,0.516,0.629999995,0.589999974,0.659999967,0.516,0.639999986,0.579999983,0.680000007,0.522,0.629999995,0.569999993,0.649999976,0.507
3/17/2020 19:00,0.25,0.209999993,0.25999999,0.181,0.269999981,0.209999993,0.299999982,0.2,0.170000002,0.140000001,0.209999993,0.093,0.319999993,0.319999993,0.329999983,0.263,0.299999982,0.349999994,0.299999982,0.257,0.269999981,0.319999993,0.239999995,0.221,0.370000005,0.269999981,0.359999985,0.264,0.340000004,0.289999992,0.370000005,0.264,0.340000004,0.289999992,0.359999985,0.261,0.340000004,0.269999981,0.370000005,0.258,0.340000004,0.280000001,0.359999985,0.259
3/17/2020 19:15,0.129999995,0.119999997,0.149999991,0.02,0.129999995,0.129999995,0.140000001,0.018,0,0,0,0,0.099999994,0.099999994,0.109999999,0.023,0.099999994,0.119999997,0.099999994,0.015,0.119999997,0.140000001,0.119999997,0.025,0,0,0,0,0.140000001,0.119999997,0.159999996,0.03,0,0,0,0,0.140000001,0.129999995,0.149999991,0.018,0,0,0,0
3/17/2020 19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 20:15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 20:30,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 20:45,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 21:00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 21:15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 21:30,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 21:45,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 22:00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 22:15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020 22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
