air_temp,relative_humidity,wind_speed,wind_direction,wind_gust,precip_accum_five_minute,precip_accum_one_hour,solar_radiation,precip_accum,volt,dew_point_temperature,Date,Time
-18.8,76,1.16,300,2.15,,,0,885.19,12.6,-22.01,12/15/2019,12:00:00
-18.6,76,1.52,306,2.23,,,0,885.19,12.5,-21.81,12/15/2019,12:30:00
-18.3,75,1.25,307,2.06,,0,0,885.19,12.6,-21.67,12/15/2019,13:00:00
-18.2,75,1.25,305,2.33,,,0,885.19,12.5,-21.58,12/15/2019,13:30:00
-18.1,75,0.58,189,1.38,,,9,885.19,12.6,-21.48,12/15/2019,14:00:00
-17.7,74,0.67,98,1.43,,,30,885.19,12.6,-21.25,12/15/2019,14:30:00
-17.4,73,0.94,79,1.97,,,59,885.19,12.7,-21.12,12/15/2019,15:00:00
-17,72,1.03,103,1.92,,,102,885.19,12.9,-20.89,12/15/2019,15:30:00
-16,70,1.48,142,2.95,,0,178,885.19,13.7,-20.26,12/15/2019,16:00:00
-15,70,2.59,182,3.98,,,224,885.19,14.2,-19.3,12/15/2019,16:30:00
-14.8,70,2.55,182,4.83,,,165,885.19,14.1,-19.1,12/15/2019,17:00:00
-14.4,67,2.64,195,4.16,,,211,885.19,14.1,-19.24,12/15/2019,17:30:00
-13.7,64,2.55,196,4.83,,,246,885.19,14.1,-19.11,12/15/2019,18:00:00
-13.1,63,2.23,185,4.07,,,295,885.19,14.2,-18.72,12/15/2019,18:30:00
-12.8,63,2.55,166,4.29,,,216,885.19,14,-18.44,12/15/2019,19:00:00
-12.6,62,2.01,205,3.62,,,172,885.19,13.9,-18.44,12/15/2019,19:30:00
-12.4,60,1.52,232,3.49,,,97,885.19,13.7,-18.64,12/15/2019,20:00:00
-12.4,61,1.83,212,3.13,,,57,885.19,13.4,-18.44,12/15/2019,20:30:00
-12.4,63,1.92,189,3.13,,,43,885.19,13.3,-18.06,12/15/2019,21:00:00
-12.1,63,2.59,158,3.98,,,54,885.19,13.3,-17.77,12/15/2019,21:30:00
-11.7,62,2.19,163,3.31,,,34,885.19,13.2,-17.59,12/15/2019,22:00:00
-11.6,63,2.64,163,4.83,,,9,885.19,13.1,-17.3,12/15/2019,22:30:00
-11.6,63,2.99,170,4.74,,,1,885.19,13,-17.3,12/15/2019,23:00:00
-11.7,64,2.91,171,4.34,,,0,885.19,12.9,-17.21,12/15/2019,23:30:00
-11.7,64,2.91,179,4.78,,,0,885.19,12.9,-17.21,12/16/2019,00:00:00
-11.8,64,3.09,176,4.96,,,0,885.19,12.9,-17.3,12/16/2019,00:30:00
-11.8,64,3.04,175,4.78,,,0,885.19,12.9,-17.3,12/16/2019,01:00:00
-11.8,64,3.31,177,5.27,,,0,885.19,12.9,-17.3,12/16/2019,01:30:00
-11.6,64,2.81,180,4.92,,,0,885.19,12.9,-17.11,12/16/2019,02:00:00
-11.6,65,2.73,170,4.56,,,0,885.19,12.8,-16.92,12/16/2019,02:30:00
-11.2,66,2.55,183,4.02,,,0,885.19,12.8,-16.36,12/16/2019,03:00:00
-10.6,66,2.59,206,5.05,,,0,885.19,12.8,-15.79,12/16/2019,03:30:00
-10.3,65,1.83,228,4.11,,,0,885.19,12.8,-15.69,12/16/2019,04:00:00
-10.1,66,1.79,219,3.22,,,0,885.19,12.7,-15.31,12/16/2019,04:30:00
-9.8,67,1.3,212,2.68,,,0,885.19,12.7,-14.84,12/16/2019,05:00:00
-9.6,68,1.79,219,3.53,,,0,885.19,12.7,-14.46,12/16/2019,05:30:00
-9.3,69,1.74,219,3.44,,,0,885.19,12.7,-14,12/16/2019,06:00:00
-9,70,1.83,222,3.22,,,0,885.19,12.7,-13.53,12/16/2019,06:30:00
-8.7,72,2.01,218,4.07,,,0,885.19,12.7,-12.89,12/16/2019,07:00:00
-8.5,73,1.83,226,4.07,,,0,885.19,12.6,-12.53,12/16/2019,07:30:00
-8.1,73,1.97,223,3.71,,,0,885.19,12.7,-12.14,12/16/2019,08:00:00
-7.9,73,2.06,232,3.89,,,0,885.19,12.6,-11.95,12/16/2019,08:30:00
-7.7,73,2.01,229,3.89,,,0,885.19,12.7,-11.75,12/16/2019,09:00:00
-7.6,74,2.28,225,3.76,,,0,885.19,12.6,-11.48,12/16/2019,09:30:00
-7.5,74,2.51,226,4.11,,,0,885.19,12.7,-11.39,12/16/2019,10:00:00
-7.5,75,2.51,233,4.52,,,0,885.19,12.6,-11.22,12/16/2019,10:30:00
-7.5,78,2.64,234,4.42,,0,0,885.19,12.7,-10.72,12/16/2019,11:00:00
-7.6,82,2.15,242,3.53,,,0,885.19,12.6,-10.18,12/16/2019,11:30:00
-7.5,83,1.79,243,3.4,,,0,885.19,12.6,-9.92,12/16/2019,12:00:00
-7.3,82,1.74,220,3.31,,,0,885.19,12.6,-9.88,12/16/2019,12:30:00
-7.3,81,2.37,218,4.29,,,0,885.19,12.7,-10.04,12/16/2019,13:00:00
-7.1,79,2.15,226,4.2,,,0,885.19,12.6,-10.17,12/16/2019,13:30:00
-6.9,78,1.34,228,3.09,,0,3,885.19,12.7,-10.14,12/16/2019,14:00:00
-6.4,77,1.97,207,3.8,,,19,885.19,12.7,-9.81,12/16/2019,14:30:00
-6.3,76,2.46,199,3.71,,,34,885.19,12.8,-9.89,12/16/2019,15:00:00
-6.2,76,2.91,189,4.47,,,44,885.19,12.8,-9.79,12/16/2019,15:30:00
-6,75,2.41,195,4.29,,,94,885.19,13,-9.77,12/16/2019,16:00:00
-5.4,74,2.23,229,4.34,,,118,885.19,13.2,-9.36,12/16/2019,16:30:00
-5.3,73,2.51,230,4.16,,,122,885.19,13.3,-9.44,12/16/2019,17:00:00
-5,73,2.19,236,3.58,,,146,885.19,13.5,-9.15,12/16/2019,17:30:00
-4.5,72,2.19,240,3.84,,0,163,885.19,13.7,-8.84,12/16/2019,18:00:00
-4.1,71,2.81,252,6.08,,,159,885.19,13.7,-8.64,12/16/2019,18:30:00
-3.9,69,3.58,263,6.93,,0,164,885.19,13.7,-8.82,12/16/2019,19:00:00
-3.8,68,3.49,262,6.21,,,187,885.19,13.9,-8.91,12/16/2019,19:30:00
-3.6,67,3.71,259,6.3,,,190,885.19,14.3,-8.91,12/16/2019,20:00:00
-3.5,65,2.95,261,5.27,,,133,885.19,14,-9.21,12/16/2019,20:30:00
